"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:29:37.4078140Z","1785856","1798144","344064"
"2026-07-21T07:29:37.5200715Z","2248704","2248704","475136"
"2026-07-21T07:29:37.6295342Z","2248704","2248704","475136"
"2026-07-21T07:29:37.7406751Z","2248704","2248704","475136"
"2026-07-21T07:29:37.8691030Z","2248704","2248704","475136"
"2026-07-21T07:29:37.9920391Z","2248704","2248704","475136"
"2026-07-21T07:29:38.1130938Z","2248704","2248704","475136"
"2026-07-21T07:29:38.2220827Z","2248704","2248704","475136"
"2026-07-21T07:29:38.3324262Z","2248704","2248704","475136"
"2026-07-21T07:29:38.4586964Z","2248704","2248704","475136"
"2026-07-21T07:29:38.5685788Z","10444800","10444800","2392064"
"2026-07-21T07:29:38.6903812Z","18042880","18042880","40120320"
"2026-07-21T07:29:38.7994808Z","28430336","28430336","45449216"
"2026-07-21T07:29:38.9102799Z","44830720","44830720","60653568"
"2026-07-21T07:29:39.0562570Z","66719744","66719744","110878720"
"2026-07-21T07:29:39.1767160Z","73273344","83456000","95805440"
"2026-07-21T07:29:39.2912275Z","85766144","85766144","142659584"
"2026-07-21T07:29:39.4142286Z","119533568","119533568","181096448"
"2026-07-21T07:29:39.5361782Z","275648512","275648512","403243008"
"2026-07-21T07:29:39.6595138Z","288628736","288628736","3583873024"
"2026-07-21T07:29:39.7704900Z","298475520","298475520","669220864"
"2026-07-21T07:29:39.8977837Z","298627072","298627072","669290496"
"2026-07-21T07:29:40.0194765Z","298692608","298692608","669290496"
"2026-07-21T07:29:40.1444092Z","298729472","298729472","669290496"
"2026-07-21T07:29:40.2550349Z","298766336","298766336","669290496"
"2026-07-21T07:29:40.3669827Z","298901504","298901504","669425664"
"2026-07-21T07:29:40.4760105Z","298950656","298950656","669425664"
"2026-07-21T07:29:40.5859944Z","298979328","298979328","669425664"
"2026-07-21T07:29:40.6971666Z","299036672","299036672","669425664"
"2026-07-21T07:29:40.8087811Z","299065344","299065344","669425664"
"2026-07-21T07:29:40.9341993Z","299102208","299102208","669425664"
"2026-07-21T07:29:41.0429547Z","299122688","299122688","669425664"
"2026-07-21T07:29:41.1690555Z","299159552","299159552","669425664"
"2026-07-21T07:29:41.2797426Z","299192320","299192320","669425664"
"2026-07-21T07:29:41.4057554Z","299233280","299233280","669495296"
"2026-07-21T07:29:41.5317214Z","299278336","299278336","669495296"
"2026-07-21T07:29:41.6591249Z","299294720","299294720","669495296"
"2026-07-21T07:29:41.7666257Z","299401216","299401216","669700096"
"2026-07-21T07:29:41.8765993Z","299544576","299544576","670048256"
"2026-07-21T07:29:41.9856216Z","299560960","299560960","670048256"
"2026-07-21T07:29:42.1093523Z","299585536","299585536","670048256"
"2026-07-21T07:29:42.2335245Z","299614208","299614208","670117888"
"2026-07-21T07:29:42.3588579Z","299663360","299663360","670117888"
"2026-07-21T07:29:42.4849881Z","299712512","299712512","670117888"
"2026-07-21T07:29:42.5965653Z","299741184","299741184","670117888"
"2026-07-21T07:29:42.7066442Z","299761664","299761664","431755264"
"2026-07-21T07:29:42.8188032Z","299896832","299896832","431890432"
"2026-07-21T07:29:42.9288381Z","300871680","300871680","433131520"
"2026-07-21T07:29:43.0390223Z","300904448","300904448","433131520"
"2026-07-21T07:29:43.1501627Z","300949504","300949504","433131520"
"2026-07-21T07:29:43.2602074Z","300986368","300986368","433131520"
"2026-07-21T07:29:43.3708831Z","301023232","301023232","433131520"
"2026-07-21T07:29:43.4831382Z","301072384","301072384","433131520"
"2026-07-21T07:29:43.6097967Z","301101056","301101056","433131520"
"2026-07-21T07:29:43.7208628Z","301117440","301117440","433131520"
"2026-07-21T07:29:43.8311813Z","301150208","301150208","433131520"
"2026-07-21T07:29:43.9429300Z","301174784","301174784","433131520"
"2026-07-21T07:29:44.0564804Z","301191168","301191168","433131520"
"2026-07-21T07:29:44.1833370Z","301232128","301232128","433201152"
"2026-07-21T07:29:44.2884642Z","301273088","301273088","433270784"
"2026-07-21T07:29:44.4144048Z","301297664","301297664","433270784"
"2026-07-21T07:29:44.5244993Z","301330432","301330432","433340416"
"2026-07-21T07:29:44.6343317Z","301350912","301350912","433340416"
"2026-07-21T07:29:44.7431852Z","301359104","301359104","433340416"
"2026-07-21T07:29:44.8702077Z","301371392","301371392","433340416"
"2026-07-21T07:29:44.9967953Z","301387776","301387776","433340416"
"2026-07-21T07:29:45.1221835Z","301395968","301395968","433340416"
"2026-07-21T07:29:45.2474828Z","301404160","301404160","433340416"
"2026-07-21T07:29:45.3765752Z","301424640","301424640","433340416"
"2026-07-21T07:29:45.4962768Z","301449216","301449216","433340416"
"2026-07-21T07:29:45.6200138Z","301494272","301494272","433410048"
"2026-07-21T07:29:45.7306047Z","301502464","301502464","433410048"
"2026-07-21T07:29:45.8546184Z","301510656","301510656","433410048"
"2026-07-21T07:29:45.9633665Z","301527040","301527040","433410048"
"2026-07-21T07:29:46.0708880Z","301539328","301539328","433410048"
"2026-07-21T07:29:46.1804249Z","301547520","301547520","433479680"
"2026-07-21T07:29:46.2879873Z","301563904","301563904","433479680"
"2026-07-21T07:29:46.3984757Z","301576192","301576192","433479680"
"2026-07-21T07:29:46.5098378Z","301576192","301576192","433479680"
"2026-07-21T07:29:46.6184715Z","301592576","301592576","433479680"
"2026-07-21T07:29:46.7241644Z","301600768","301600768","433479680"
"2026-07-21T07:29:46.8503873Z","301604864","301604864","433479680"
"2026-07-21T07:29:46.9596236Z","301617152","301617152","433479680"
"2026-07-21T07:29:47.0689815Z","301625344","301625344","433479680"
"2026-07-21T07:29:47.1778012Z","301633536","301633536","433479680"
"2026-07-21T07:29:47.2873306Z","301649920","301649920","433479680"
"2026-07-21T07:29:47.3981641Z","301658112","301658112","433479680"
"2026-07-21T07:29:47.5378725Z","301662208","301662208","433479680"
"2026-07-21T07:29:47.6601535Z","301670400","301670400","433479680"
"2026-07-21T07:29:47.7717673Z","301678592","301678592","433479680"
"2026-07-21T07:29:47.8817097Z","301682688","301682688","433479680"
"2026-07-21T07:29:47.9911436Z","301686784","301686784","433479680"
"2026-07-21T07:29:48.1015698Z","301694976","301694976","433479680"
"2026-07-21T07:29:48.2108180Z","301752320","301752320","433565696"
"2026-07-21T07:29:48.3193767Z","301752320","301752320","433565696"
"2026-07-21T07:29:48.4290412Z","301764608","301764608","433635328"
"2026-07-21T07:29:48.5390758Z","301776896","301776896","433635328"
"2026-07-21T07:29:48.6500243Z","301780992","301780992","433635328"
"2026-07-21T07:29:48.7583533Z","301793280","301793280","433635328"
"2026-07-21T07:29:48.8715355Z","301805568","301805568","433635328"
"2026-07-21T07:29:48.9943517Z","301830144","301830144","433635328"
"2026-07-21T07:29:49.1302972Z","301846528","301846528","433635328"
"2026-07-21T07:29:49.2471479Z","301854720","301854720","433635328"
"2026-07-21T07:29:49.3715714Z","301858816","301858816","433635328"
"2026-07-21T07:29:49.4981631Z","301871104","301871104","433635328"
"2026-07-21T07:29:49.6227042Z","301875200","301875200","433635328"
"2026-07-21T07:29:49.7480481Z","301879296","301879296","433635328"
"2026-07-21T07:29:49.8730253Z","301887488","301887488","433635328"
"2026-07-21T07:29:49.9991021Z","301891584","301891584","433635328"
"2026-07-21T07:29:50.1238613Z","301895680","301895680","433635328"
"2026-07-21T07:29:50.2496698Z","301899776","301899776","433635328"
"2026-07-21T07:29:50.3740422Z","301907968","301907968","433635328"
"2026-07-21T07:29:50.5003318Z","301907968","301907968","433635328"
"2026-07-21T07:29:50.6251053Z","301920256","301920256","433635328"
"2026-07-21T07:29:50.7372967Z","301920256","301920256","433635328"
"2026-07-21T07:29:50.8472965Z","301924352","301924352","433635328"
"2026-07-21T07:29:50.9563724Z","301993984","301993984","433704960"
"2026-07-21T07:29:51.0662787Z","301993984","301993984","433704960"
"2026-07-21T07:29:51.1747962Z","301998080","301998080","433704960"
"2026-07-21T07:29:51.2837846Z","302010368","302010368","433704960"
"2026-07-21T07:29:51.3963416Z","302010368","302010368","433704960"
"2026-07-21T07:29:51.5182466Z","302014464","302014464","433704960"
"2026-07-21T07:29:51.6280044Z","302022656","302022656","433704960"
"2026-07-21T07:29:51.7371850Z","302022656","302022656","433704960"
"2026-07-21T07:29:51.8482419Z","302022656","302022656","433704960"
"2026-07-21T07:29:51.9587831Z","302022656","302022656","433704960"
"2026-07-21T07:29:52.0690575Z","302022656","302022656","433704960"
"2026-07-21T07:29:52.1936170Z","302026752","302026752","433704960"
"2026-07-21T07:29:52.3026923Z","302030848","302030848","433704960"
"2026-07-21T07:29:52.4270321Z","302034944","302034944","433704960"
"2026-07-21T07:29:52.5366542Z","302034944","302034944","433704960"
"2026-07-21T07:29:52.6473993Z","302039040","302039040","433704960"
"2026-07-21T07:29:52.7567324Z","302043136","302043136","433704960"
"2026-07-21T07:29:52.8670198Z","302043136","302043136","433704960"
"2026-07-21T07:29:52.9778313Z","302047232","302047232","433704960"
"2026-07-21T07:29:53.0874660Z","302047232","302047232","433704960"
"2026-07-21T07:29:53.1980071Z","302051328","302051328","433704960"
"2026-07-21T07:29:53.3086469Z","302051328","302051328","433704960"
"2026-07-21T07:29:53.4344676Z","302055424","302055424","433704960"
"2026-07-21T07:29:53.5443161Z","302067712","302067712","433704960"
"2026-07-21T07:29:53.6686294Z","302067712","302067712","433704960"
"2026-07-21T07:29:53.7770857Z","302067712","302067712","433704960"
"2026-07-21T07:29:53.8871620Z","302067712","302067712","433704960"
"2026-07-21T07:29:53.9962628Z","302067712","302067712","433704960"
"2026-07-21T07:29:54.1053944Z","302071808","302071808","433704960"
