"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:26:30.7761980Z","2244608","2244608","462848"
"2026-07-21T07:26:30.9119136Z","2244608","2244608","462848"
"2026-07-21T07:26:31.0205696Z","2244608","2244608","462848"
"2026-07-21T07:26:31.1301118Z","14159872","14159872","3166208"
"2026-07-21T07:26:31.2408273Z","17203200","17203200","39735296"
"2026-07-21T07:26:31.3668753Z","37892096","37892096","44490752"
"2026-07-21T07:26:31.4775225Z","41222144","41222144","45334528"
"2026-07-21T07:26:31.5980720Z","45735936","45850624","48443392"
"2026-07-21T07:26:31.7117174Z","65814528","65814528","71827456"
"2026-07-21T07:26:31.8373414Z","75276288","75276288","108400640"
"2026-07-21T07:26:31.9478685Z","91115520","91115520","129110016"
"2026-07-21T07:26:32.0574679Z","81227776","95719424","93122560"
"2026-07-21T07:26:32.1787323Z","94171136","95719424","108093440"
"2026-07-21T07:26:32.2882238Z","111091712","111091712","158146560"
"2026-07-21T07:26:32.3973304Z","270827520","270827520","319385600"
"2026-07-21T07:26:32.5055261Z","298491904","298491904","451645440"
"2026-07-21T07:26:32.6152598Z","300277760","300277760","454594560"
"2026-07-21T07:26:32.7237945Z","302522368","302522368","456830976"
"2026-07-21T07:26:32.8360180Z","302555136","302555136","456830976"
"2026-07-21T07:26:32.9446745Z","302579712","302579712","456830976"
"2026-07-21T07:26:33.0546197Z","302612480","302612480","456830976"
"2026-07-21T07:26:33.1653984Z","302645248","302645248","456830976"
"2026-07-21T07:26:33.2893866Z","302649344","302649344","456830976"
"2026-07-21T07:26:33.4005822Z","302678016","302678016","456830976"
"2026-07-21T07:26:33.5100380Z","302702592","302702592","456830976"
"2026-07-21T07:26:33.6353108Z","302714880","302714880","456830976"
"2026-07-21T07:26:33.7454201Z","302731264","302731264","456830976"
"2026-07-21T07:26:33.8528977Z","302751744","302751744","456830976"
"2026-07-21T07:26:33.9630676Z","302776320","302776320","456830976"
"2026-07-21T07:26:34.0735953Z","302784512","302784512","456830976"
"2026-07-21T07:26:34.2026801Z","302804992","302804992","456830976"
