"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:29:09.9922601Z","300953600","300953600","431415296"
"2026-07-21T07:29:10.1043500Z","300961792","300961792","431415296"
"2026-07-21T07:29:10.2153764Z","301006848","301006848","431415296"
"2026-07-21T07:29:10.3424232Z","301010944","301010944","431415296"
"2026-07-21T07:29:10.4684400Z","301019136","301019136","431415296"
"2026-07-21T07:29:10.5931159Z","301031424","301031424","431501312"
"2026-07-21T07:29:10.7181330Z","301101056","301101056","431501312"
"2026-07-21T07:29:10.8425263Z","301105152","301105152","431501312"
"2026-07-21T07:29:10.9677404Z","301113344","301113344","431501312"
"2026-07-21T07:29:11.0909175Z","301113344","301113344","431501312"
"2026-07-21T07:29:11.2160603Z","301117440","301117440","431501312"
"2026-07-21T07:29:11.3262902Z","301125632","301125632","431501312"
"2026-07-21T07:29:11.4524156Z","301129728","301129728","431501312"
"2026-07-21T07:29:11.5775086Z","301129728","301129728","431501312"
"2026-07-21T07:29:11.6898262Z","301129728","301129728","431501312"
"2026-07-21T07:29:11.8003576Z","301133824","301133824","431501312"
"2026-07-21T07:29:11.9109879Z","301137920","301137920","431501312"
"2026-07-21T07:29:12.0205627Z","301142016","301142016","431501312"
"2026-07-21T07:29:12.1302641Z","301142016","301142016","431501312"
"2026-07-21T07:29:12.2424263Z","301146112","301146112","431501312"
"2026-07-21T07:29:12.3535812Z","301150208","301150208","431501312"
"2026-07-21T07:29:12.4639914Z","301150208","301150208","431501312"
"2026-07-21T07:29:12.5723618Z","301154304","301154304","431501312"
"2026-07-21T07:29:12.6840569Z","301158400","301158400","431501312"
"2026-07-21T07:29:12.7947009Z","301158400","301158400","431501312"
"2026-07-21T07:29:12.9206159Z","301158400","301158400","431501312"
"2026-07-21T07:29:13.0481907Z","301158400","301158400","431501312"
"2026-07-21T07:29:13.1708097Z","301162496","301162496","431501312"
"2026-07-21T07:29:13.2964518Z","301166592","301166592","431501312"
"2026-07-21T07:29:13.4219868Z","301166592","301166592","431501312"
"2026-07-21T07:29:13.5477216Z","301174784","301174784","431501312"
"2026-07-21T07:29:13.6713784Z","301174784","301174784","431501312"
"2026-07-21T07:29:13.7984600Z","301174784","301174784","431501312"
"2026-07-21T07:29:13.9072810Z","301174784","301174784","431501312"
"2026-07-21T07:29:14.0172805Z","301178880","301178880","431501312"
"2026-07-21T07:29:14.1409101Z","301182976","301182976","431501312"
"2026-07-21T07:29:14.2657112Z","301191168","301191168","431501312"
"2026-07-21T07:29:14.3897907Z","301195264","301195264","431501312"
"2026-07-21T07:29:14.5158012Z","301195264","301195264","431501312"
"2026-07-21T07:29:14.6410812Z","301199360","301199360","431501312"
"2026-07-21T07:29:14.7651179Z","301199360","301199360","431501312"
"2026-07-21T07:29:14.8893451Z","301199360","301199360","431501312"
"2026-07-21T07:29:15.0141560Z","301199360","301199360","431501312"
"2026-07-21T07:29:15.1391949Z","301199360","301199360","431501312"
"2026-07-21T07:29:15.2651520Z","301203456","301203456","431501312"
