"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:28:22.7420185Z","1785856","1798144","348160"
"2026-07-21T07:28:22.8637934Z","2248704","2248704","471040"
"2026-07-21T07:28:22.9883449Z","2248704","2248704","471040"
"2026-07-21T07:28:23.0976903Z","2248704","2248704","471040"
"2026-07-21T07:28:23.2173060Z","2248704","2248704","471040"
"2026-07-21T07:28:23.3313244Z","2248704","2248704","471040"
"2026-07-21T07:28:23.4422746Z","2248704","2248704","471040"
"2026-07-21T07:28:23.5498356Z","2248704","2248704","471040"
"2026-07-21T07:28:23.6658039Z","11329536","11350016","2502656"
"2026-07-21T07:28:23.7870725Z","20234240","20234240","41496576"
"2026-07-21T07:28:23.9077445Z","28303360","28303360","45277184"
"2026-07-21T07:28:24.0166209Z","49819648","49819648","66744320"
"2026-07-21T07:28:24.1986901Z","50659328","50659328","67977216"
"2026-07-21T07:28:24.3158490Z","62623744","62623744","107929600"
"2026-07-21T07:28:24.4357664Z","69931008","83386368","91181056"
"2026-07-21T07:28:24.5527561Z","82108416","83599360","107266048"
"2026-07-21T07:28:24.6789397Z","104173568","104173568","162103296"
"2026-07-21T07:28:24.7959446Z","272125952","272125952","401428480"
"2026-07-21T07:28:24.9231814Z","297234432","297234432","430174208"
"2026-07-21T07:28:25.0417886Z","297345024","297345024","430309376"
"2026-07-21T07:28:25.1481927Z","297418752","297418752","430309376"
"2026-07-21T07:28:25.2567390Z","297459712","297459712","430309376"
"2026-07-21T07:28:25.3830644Z","297492480","297492480","430309376"
"2026-07-21T07:28:25.4915673Z","297537536","297537536","430309376"
"2026-07-21T07:28:25.6006164Z","297562112","297562112","430309376"
"2026-07-21T07:28:25.7225462Z","297607168","297607168","430309376"
"2026-07-21T07:28:25.8380987Z","297644032","297644032","430321664"
"2026-07-21T07:28:25.9478615Z","297676800","297676800","430321664"
"2026-07-21T07:28:26.0579552Z","297713664","297713664","430321664"
"2026-07-21T07:28:26.1841959Z","297746432","297746432","430321664"
"2026-07-21T07:28:26.3147726Z","297803776","297803776","430321664"
"2026-07-21T07:28:26.4495783Z","297832448","297832448","430321664"
"2026-07-21T07:28:26.5731482Z","297889792","297889792","430321664"
"2026-07-21T07:28:26.7013439Z","297938944","297938944","430391296"
"2026-07-21T07:28:26.8239117Z","297963520","297963520","430391296"
"2026-07-21T07:28:26.9494118Z","298061824","298061824","430768128"
"2026-07-21T07:28:27.0754296Z","298135552","298135552","430874624"
"2026-07-21T07:28:27.2016039Z","298176512","298176512","430874624"
"2026-07-21T07:28:27.3267311Z","298221568","298221568","430874624"
"2026-07-21T07:28:27.4518126Z","298250240","298250240","430874624"
"2026-07-21T07:28:27.5755479Z","298315776","298315776","430944256"
"2026-07-21T07:28:27.7078581Z","298356736","298356736","430944256"
"2026-07-21T07:28:27.8260323Z","298393600","298393600","430850048"
"2026-07-21T07:28:27.9511966Z","298438656","298438656","430919680"
"2026-07-21T07:28:28.0782519Z","298487808","298487808","430989312"
"2026-07-21T07:28:28.2061092Z","298983424","298983424","431579136"
"2026-07-21T07:28:28.3330806Z","299122688","299122688","431714304"
"2026-07-21T07:28:28.4504543Z","299147264","299147264","431714304"
"2026-07-21T07:28:28.5745334Z","299192320","299192320","431714304"
"2026-07-21T07:28:28.7017582Z","299225088","299225088","431714304"
"2026-07-21T07:28:28.8260247Z","299261952","299261952","431714304"
"2026-07-21T07:28:28.9507725Z","299347968","299347968","431714304"
"2026-07-21T07:28:29.0789815Z","299421696","299421696","431849472"
"2026-07-21T07:28:29.1998737Z","299458560","299458560","431849472"
"2026-07-21T07:28:29.3072488Z","299483136","299483136","431849472"
"2026-07-21T07:28:29.4172112Z","299507712","299507712","431849472"
"2026-07-21T07:28:29.5269874Z","299540480","299540480","431849472"
"2026-07-21T07:28:29.6508211Z","299560960","299560960","431849472"
"2026-07-21T07:28:29.7752766Z","299589632","299589632","431849472"
"2026-07-21T07:28:29.8845438Z","299610112","299610112","431849472"
"2026-07-21T07:28:29.9916872Z","299630592","299630592","431849472"
"2026-07-21T07:28:30.1013078Z","299655168","299655168","431849472"
"2026-07-21T07:28:30.2126883Z","299671552","299671552","431849472"
"2026-07-21T07:28:30.3211787Z","299671552","299671552","431849472"
"2026-07-21T07:28:30.4326296Z","299687936","299687936","431849472"
"2026-07-21T07:28:30.5400516Z","299700224","299700224","431849472"
"2026-07-21T07:28:30.6481213Z","299708416","299708416","431849472"
"2026-07-21T07:28:30.7585676Z","299720704","299720704","431849472"
"2026-07-21T07:28:30.8848111Z","299724800","299724800","431849472"
"2026-07-21T07:28:31.0081442Z","299732992","299732992","431849472"
"2026-07-21T07:28:31.1194641Z","299737088","299737088","431849472"
"2026-07-21T07:28:31.2309805Z","299741184","299741184","431849472"
"2026-07-21T07:28:31.3549129Z","299745280","299745280","431849472"
"2026-07-21T07:28:31.4648399Z","299749376","299749376","431849472"
"2026-07-21T07:28:31.5896539Z","299757568","299757568","431849472"
"2026-07-21T07:28:31.7158800Z","299761664","299761664","431849472"
"2026-07-21T07:28:31.8248661Z","299778048","299778048","431849472"
"2026-07-21T07:28:31.9523539Z","299786240","299786240","431849472"
"2026-07-21T07:28:32.0793172Z","299786240","299786240","431849472"
"2026-07-21T07:28:32.2035870Z","299790336","299790336","431849472"
"2026-07-21T07:28:32.3293893Z","299790336","299790336","431849472"
"2026-07-21T07:28:32.4544558Z","299847680","299847680","431984640"
"2026-07-21T07:28:32.5642097Z","299884544","299884544","431984640"
"2026-07-21T07:28:32.6742370Z","299900928","299900928","431984640"
"2026-07-21T07:28:32.7840466Z","299921408","299921408","431984640"
"2026-07-21T07:28:32.8919291Z","299925504","299925504","431984640"
"2026-07-21T07:28:33.0031567Z","299929600","299929600","431984640"
"2026-07-21T07:28:33.1128779Z","299929600","299929600","431984640"
"2026-07-21T07:28:33.2215389Z","299937792","299937792","431984640"
"2026-07-21T07:28:33.3322946Z","299986944","299986944","432070656"
"2026-07-21T07:28:33.4406947Z","299986944","299986944","432070656"
"2026-07-21T07:28:33.5506075Z","299991040","299991040","432070656"
"2026-07-21T07:28:33.6627770Z","299995136","299995136","432070656"
"2026-07-21T07:28:33.7737723Z","299999232","299999232","432070656"
"2026-07-21T07:28:33.8848637Z","300003328","300003328","432070656"
"2026-07-21T07:28:33.9965049Z","300011520","300011520","432070656"
"2026-07-21T07:28:34.1090245Z","300015616","300015616","432070656"
"2026-07-21T07:28:34.2346683Z","300015616","300015616","432070656"
"2026-07-21T07:28:34.3604956Z","300019712","300019712","432070656"
"2026-07-21T07:28:34.4707856Z","300023808","300023808","432070656"
"2026-07-21T07:28:34.5815830Z","300023808","300023808","432070656"
"2026-07-21T07:28:34.6920147Z","300023808","300023808","432070656"
"2026-07-21T07:28:34.8012488Z","300027904","300027904","432070656"
"2026-07-21T07:28:34.9117766Z","300027904","300027904","432070656"
"2026-07-21T07:28:35.0229434Z","300040192","300040192","432070656"
"2026-07-21T07:28:35.1493741Z","300040192","300040192","432070656"
"2026-07-21T07:28:35.2590415Z","300040192","300040192","432070656"
"2026-07-21T07:28:35.3684942Z","300044288","300044288","432070656"
"2026-07-21T07:28:35.4775553Z","300052480","300052480","432070656"
"2026-07-21T07:28:35.5878313Z","300060672","300060672","432070656"
"2026-07-21T07:28:35.6983801Z","300060672","300060672","432070656"
"2026-07-21T07:28:35.8090934Z","300068864","300068864","432070656"
"2026-07-21T07:28:35.9356055Z","300068864","300068864","432070656"
"2026-07-21T07:28:36.0620213Z","300077056","300077056","432070656"
"2026-07-21T07:28:36.1893461Z","300077056","300077056","432070656"
"2026-07-21T07:28:36.2984943Z","300081152","300081152","432070656"
"2026-07-21T07:28:36.4236647Z","300085248","300085248","432070656"
"2026-07-21T07:28:36.5325536Z","300085248","300085248","432070656"
"2026-07-21T07:28:36.6567586Z","300093440","300093440","432070656"
"2026-07-21T07:28:36.7814699Z","300101632","300101632","432070656"
"2026-07-21T07:28:36.9061416Z","300101632","300101632","432070656"
"2026-07-21T07:28:37.0184056Z","300105728","300105728","432070656"
"2026-07-21T07:28:37.1287018Z","300105728","300105728","432070656"
"2026-07-21T07:28:37.2422861Z","300105728","300105728","432070656"
"2026-07-21T07:28:37.3632710Z","300109824","300109824","432070656"
"2026-07-21T07:28:37.4712972Z","300113920","300113920","432070656"
"2026-07-21T07:28:37.6094622Z","300122112","300122112","432070656"
"2026-07-21T07:28:37.7350367Z","300122112","300122112","432070656"
"2026-07-21T07:28:37.8468923Z","300130304","300130304","432070656"
"2026-07-21T07:28:37.9713232Z","300138496","300138496","432070656"
"2026-07-21T07:28:38.0791970Z","300138496","300138496","432070656"
"2026-07-21T07:28:38.2015020Z","300146688","300146688","432070656"
"2026-07-21T07:28:38.3279966Z","300154880","300154880","432070656"
"2026-07-21T07:28:38.4520291Z","300154880","300154880","432070656"
"2026-07-21T07:28:38.5770413Z","300154880","300154880","432070656"
