"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:27:07.9721886Z","2134016","2134016","446464"
"2026-07-21T07:27:08.0890362Z","2248704","2248704","475136"
"2026-07-21T07:27:08.2141986Z","2248704","2248704","475136"
"2026-07-21T07:27:08.3245160Z","2248704","2248704","475136"
"2026-07-21T07:27:08.4505997Z","2248704","2248704","475136"
"2026-07-21T07:27:08.5756530Z","2248704","2248704","475136"
"2026-07-21T07:27:08.7021510Z","2248704","2248704","475136"
"2026-07-21T07:27:08.8144778Z","12816384","12816384","2879488"
"2026-07-21T07:27:08.9230846Z","22282240","22282240","42598400"
"2026-07-21T07:27:09.0331475Z","32677888","32677888","47882240"
"2026-07-21T07:27:09.1447753Z","55504896","55504896","71426048"
"2026-07-21T07:27:09.2529667Z","74969088","74969088","127270912"
"2026-07-21T07:27:09.3627428Z","78614528","83271680","97075200"
"2026-07-21T07:27:09.4720035Z","91566080","91566080","151388160"
"2026-07-21T07:27:09.5824136Z","261459968","261459968","320475136"
"2026-07-21T07:27:09.6927694Z","279015424","280637440","4218073088"
"2026-07-21T07:27:09.8068538Z","291217408","291217408","982736896"
"2026-07-21T07:27:09.9251548Z","293462016","293462016","704757760"
"2026-07-21T07:27:10.0340598Z","295636992","295636992","704806912"
"2026-07-21T07:27:10.1438303Z","295657472","295657472","704806912"
"2026-07-21T07:27:10.2552158Z","295673856","295673856","704806912"
"2026-07-21T07:27:10.3639149Z","295698432","295698432","704806912"
"2026-07-21T07:27:10.4958758Z","295718912","295718912","704806912"
"2026-07-21T07:27:10.6141844Z","295739392","295739392","704806912"
"2026-07-21T07:27:10.7235704Z","295755776","295755776","704806912"
"2026-07-21T07:27:10.8483505Z","295780352","295780352","704806912"
"2026-07-21T07:27:10.9553864Z","295800832","295800832","704806912"
"2026-07-21T07:27:11.0667289Z","295813120","295813120","704806912"
"2026-07-21T07:27:11.2049203Z","295841792","295841792","704806912"
"2026-07-21T07:27:11.3149614Z","295858176","295858176","704806912"
"2026-07-21T07:27:11.4740278Z","295882752","295882752","704806912"
"2026-07-21T07:27:11.5825362Z","295923712","295923712","704876544"
"2026-07-21T07:27:11.6907163Z","295940096","295940096","704876544"
"2026-07-21T07:27:11.8010365Z","295944192","295944192","704876544"
"2026-07-21T07:27:11.9122067Z","296001536","296001536","705110016"
"2026-07-21T07:27:12.0214425Z","296022016","296022016","705110016"
"2026-07-21T07:27:12.1322733Z","296038400","296038400","705110016"
"2026-07-21T07:27:12.2477392Z","296050688","296050688","705110016"
"2026-07-21T07:27:12.3669547Z","296075264","296075264","705110016"
"2026-07-21T07:27:12.4752389Z","296103936","296103936","705110016"
"2026-07-21T07:27:12.5872812Z","296120320","296120320","705110016"
"2026-07-21T07:27:12.6978886Z","296140800","296140800","705110016"
"2026-07-21T07:27:12.8075403Z","296153088","296153088","705110016"
"2026-07-21T07:27:12.9331958Z","296173568","296173568","460595200"
"2026-07-21T07:27:13.0421398Z","296198144","296198144","460595200"
"2026-07-21T07:27:13.1516591Z","296927232","296927232","461463552"
"2026-07-21T07:27:13.2604938Z","296939520","296939520","461463552"
"2026-07-21T07:27:13.3700490Z","296964096","296964096","461533184"
"2026-07-21T07:27:13.4795479Z","296980480","296980480","461533184"
"2026-07-21T07:27:13.5880681Z","297041920","297041920","461602816"
"2026-07-21T07:27:13.6982437Z","297054208","297054208","461602816"
"2026-07-21T07:27:13.8061532Z","297058304","297058304","461602816"
"2026-07-21T07:27:13.9158204Z","297078784","297078784","461602816"
"2026-07-21T07:27:14.0256970Z","297189376","297189376","461717504"
"2026-07-21T07:27:14.1356504Z","297197568","297197568","461717504"
"2026-07-21T07:27:14.2608315Z","297226240","297226240","461717504"
"2026-07-21T07:27:14.3848775Z","297246720","297246720","461717504"
"2026-07-21T07:27:14.5112316Z","297275392","297275392","461787136"
"2026-07-21T07:27:14.6391894Z","297328640","297328640","461787136"
"2026-07-21T07:27:14.7667752Z","297373696","297373696","461856768"
"2026-07-21T07:27:14.8786432Z","297390080","297390080","461856768"
"2026-07-21T07:27:14.9885745Z","297394176","297394176","461856768"
"2026-07-21T07:27:15.0986857Z","297402368","297402368","461856768"
"2026-07-21T07:27:15.2087887Z","297406464","297406464","461856768"
"2026-07-21T07:27:15.3184204Z","297410560","297410560","461856768"
"2026-07-21T07:27:15.4296135Z","297418752","297418752","461856768"
"2026-07-21T07:27:15.5396345Z","297426944","297426944","461856768"
"2026-07-21T07:27:15.6494026Z","297435136","297435136","461856768"
"2026-07-21T07:27:15.7581445Z","297447424","297447424","461856768"
"2026-07-21T07:27:15.8683920Z","297447424","297447424","461856768"
"2026-07-21T07:27:15.9772801Z","297455616","297455616","461856768"
"2026-07-21T07:27:16.0863636Z","297467904","297467904","461856768"
"2026-07-21T07:27:16.1959059Z","297476096","297476096","461856768"
"2026-07-21T07:27:16.3051723Z","297484288","297484288","461856768"
"2026-07-21T07:27:16.4172108Z","297496576","297496576","461856768"
"2026-07-21T07:27:16.5282726Z","297504768","297504768","461856768"
"2026-07-21T07:27:16.6558114Z","297512960","297512960","461856768"
"2026-07-21T07:27:16.7823266Z","297562112","297562112","461926400"
"2026-07-21T07:27:16.8926880Z","297562112","297562112","461926400"
"2026-07-21T07:27:17.0034426Z","297566208","297566208","461926400"
"2026-07-21T07:27:17.1174728Z","297705472","297705472","462069760"
"2026-07-21T07:27:17.2261501Z","297713664","297713664","462069760"
"2026-07-21T07:27:17.3377364Z","297717760","297717760","462069760"
"2026-07-21T07:27:17.4484219Z","297725952","297725952","462069760"
"2026-07-21T07:27:17.5573584Z","297725952","297725952","462069760"
"2026-07-21T07:27:17.6672306Z","297725952","297725952","462069760"
"2026-07-21T07:27:17.7776794Z","297738240","297738240","462069760"
"2026-07-21T07:27:17.8892161Z","297738240","297738240","462069760"
"2026-07-21T07:27:18.0155857Z","297750528","297750528","462069760"
"2026-07-21T07:27:18.1301070Z","297758720","297758720","462069760"
"2026-07-21T07:27:18.2387050Z","297807872","297807872","462155776"
"2026-07-21T07:27:18.3502783Z","297811968","297811968","462155776"
