"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:27:45.1178932Z","1789952","1802240","352256"
"2026-07-21T07:27:45.2296369Z","2248704","2248704","475136"
"2026-07-21T07:27:45.3416434Z","2248704","2248704","475136"
"2026-07-21T07:27:45.4879098Z","2248704","2248704","475136"
"2026-07-21T07:27:45.6147097Z","2248704","2248704","475136"
"2026-07-21T07:27:45.7291410Z","2248704","2248704","475136"
"2026-07-21T07:27:45.8377887Z","2248704","2248704","475136"
"2026-07-21T07:27:45.9648811Z","2248704","2248704","475136"
"2026-07-21T07:27:46.0870345Z","2248704","2248704","475136"
"2026-07-21T07:27:46.2141285Z","6561792","6561792","1822720"
"2026-07-21T07:27:46.3391318Z","16642048","16642048","39735296"
"2026-07-21T07:27:46.4467817Z","26406912","26406912","44589056"
"2026-07-21T07:27:46.5546097Z","32612352","32641024","48353280"
"2026-07-21T07:27:46.6658360Z","50470912","50470912","67833856"
"2026-07-21T07:27:46.7801629Z","63102976","63102976","108281856"
"2026-07-21T07:27:46.8965075Z","69255168","83492864","95023104"
"2026-07-21T07:27:47.0059286Z","81764352","83681280","108802048"
"2026-07-21T07:27:47.1149134Z","102813696","102813696","159850496"
"2026-07-21T07:27:47.2244909Z","272175104","272175104","400515072"
"2026-07-21T07:27:47.3337386Z","281251840","283328512","4154044416"
"2026-07-21T07:27:47.4441046Z","294862848","294862848","668762112"
"2026-07-21T07:27:47.5541635Z","297086976","297086976","668897280"
"2026-07-21T07:27:47.6643087Z","297132032","297132032","668917760"
"2026-07-21T07:27:47.7748967Z","297164800","297164800","668917760"
"2026-07-21T07:27:47.8994144Z","297185280","297185280","668917760"
"2026-07-21T07:27:48.0097756Z","297201664","297201664","668917760"
"2026-07-21T07:27:48.1344111Z","297209856","297209856","668917760"
"2026-07-21T07:27:48.2466900Z","297218048","297218048","668917760"
"2026-07-21T07:27:48.3689929Z","297250816","297250816","668930048"
"2026-07-21T07:27:48.4787657Z","297263104","297263104","668930048"
"2026-07-21T07:27:48.6023529Z","297287680","297287680","668930048"
"2026-07-21T07:27:48.7123273Z","297295872","297295872","668930048"
"2026-07-21T07:27:48.8201940Z","297308160","297308160","668930048"
"2026-07-21T07:27:48.9288173Z","297324544","297324544","668930048"
"2026-07-21T07:27:49.0390108Z","297324544","297324544","668930048"
"2026-07-21T07:27:49.1474659Z","297340928","297340928","668930048"
"2026-07-21T07:27:49.2568012Z","297361408","297361408","668999680"
"2026-07-21T07:27:49.3672625Z","297365504","297365504","668999680"
"2026-07-21T07:27:49.4787542Z","297431040","297431040","669233152"
"2026-07-21T07:27:49.5893793Z","297447424","297447424","669233152"
"2026-07-21T07:27:49.7150077Z","297467904","297467904","669233152"
"2026-07-21T07:27:49.8259935Z","297492480","297492480","669233152"
"2026-07-21T07:27:49.9521942Z","297512960","297512960","669233152"
"2026-07-21T07:27:50.0783717Z","297549824","297549824","669233152"
"2026-07-21T07:27:50.2034477Z","297574400","297574400","669233152"
"2026-07-21T07:27:50.3287699Z","297590784","297590784","669233152"
"2026-07-21T07:27:50.4388406Z","297623552","297623552","429113344"
"2026-07-21T07:27:50.5490991Z","297652224","297652224","429113344"
"2026-07-21T07:27:50.6592032Z","297660416","297660416","429113344"
"2026-07-21T07:27:50.7690079Z","297680896","297680896","429113344"
"2026-07-21T07:27:50.8779875Z","297713664","297713664","429182976"
"2026-07-21T07:27:50.9877312Z","297730048","297730048","429182976"
"2026-07-21T07:27:51.1015215Z","297750528","297750528","429182976"
"2026-07-21T07:27:51.2095838Z","297775104","297775104","429182976"
"2026-07-21T07:27:51.3202108Z","297787392","297787392","429182976"
"2026-07-21T07:27:51.4323272Z","297816064","297816064","429182976"
"2026-07-21T07:27:51.5454177Z","297857024","297857024","429228032"
"2026-07-21T07:27:51.6699775Z","297869312","297869312","429228032"
"2026-07-21T07:27:51.7960090Z","297889792","297889792","429228032"
"2026-07-21T07:27:51.9219596Z","297906176","297906176","429297664"
"2026-07-21T07:27:52.0465937Z","297914368","297914368","429297664"
"2026-07-21T07:27:52.1716684Z","297930752","297930752","429297664"
"2026-07-21T07:27:52.2837573Z","297943040","297943040","429297664"
"2026-07-21T07:27:52.3958246Z","297951232","297951232","429297664"
"2026-07-21T07:27:52.5070420Z","297971712","297971712","429297664"
"2026-07-21T07:27:52.6167208Z","297988096","297988096","429297664"
